Wind ID,Date/Time,Latitude,Longitude,Nearest town,State,Max Gust speed,Comments,,,
6535,29/11/2011 12:28,-33.3817,148.0012,FORBES,NSW,62,Report was a SPECI from YFBS AWS. A pre-frontal feature moved across central parts of NSW resulting in several observed damaging-destructive wind gusts at several locations.,,,
6536,29/11/2011 5:30,-35.1318,147.4179,WAGGA WAGGA AIRPORT,NSW,48,NULL NULL,,,
6537,29/11/2011 9:00,-35.2818,147.0846,THE ROCK HILL,NSW,53,Heavy items such as 44 gallon drums were moved around the yard. A pre-frontal feature moved across central parts of NSW resulting in several observed damaging-destructive wind gusts at several locations.,,,
6562,29/11/2011 5:30,-35.1152,147.3679,WAGGA WAGGA,NSW,0,Estimated report of wind speed with an event that also had a report of 50mm in 4 hours near Wagga Wagga NULL,,,
6563,25/12/2011 11:25,-31.0818,141.718,FOWLERS GAP,NSW,49,NULL NULL,,,
6564,8/01/2012 7:52,-31.2651,149.2679,COONABARABRAN,NSW,56,radar velocity approximated as 50kt for around this time. NULL,,,
6565,27/01/2012 1:29,-32.0068,141.468,BROKEN HILL AIRPORT,NSW,52,NULL NULL,,,
6566,12/02/2012 10:20,-30.3151,153.1345,COFFS HARBOUR,NSW,53,Also recorded some rain amounts for this event NULL,,,
6567,20/02/2012 5:25,-31.0817,150.9345,TAMWORTH,NSW,49,Observed by forecaster on alerts. Gale mean wind speed and storm force gust recorded.,,,
6568,29/11/2011 9:00,-34.8651,150.5846,NORTH NOWRA,NSW,98,reported via spotter email NULL,,,
6835,23/08/2012 7:18,-30.3317,149.7678,NARRABRI,NSW,48,Wind averaging period of 2mins NULL,,,
6836,23/08/2012 6:03,-33.6151,150.2679,MOUNT BOYCE,NSW,49,LGA:Blue Mtns/Hawkesbury%D Wind averaging period of 3 minutes. NULL,,,
6837,30/10/2012 5:07,-29.7484,153.0345,GRAFTON AIRPORT,NSW,53,Wind Averaging period of 2mins. NULL,,,
6838,8/11/2012 5:15,-33.7484,150.7012,PENRITH,NSW,58,LGA:Sydney%D Wind Averaging period of 2mins. NULL,,,
6839,27/11/2012 5:07,-34.3984,150.0846,BOURKE,NSW,56,Wind averaging period of 2min. NULL,,,
6840,27/11/2012 4:21,-33.9317,147.2012,WEST WYALONG,NSW,49,Wind averaging period of 2mins. NULL,,,
6841,27/11/2012 4:35,-34.4651,147.5346,TEMORA,NSW,55,Wind averaging period of 2mins. NULL,,,
6842,27/11/2012 5:26,-34.2984,148.3012,YOUNG,NSW,48,Wind averaging period of 7mins. NULL,,,
6843,27/11/2012 9:19,-32.0317,150.8845,SCONE,NSW,53,Wind averaging period of 2mins. NULL,,,
6844,1/12/2012 15:11,-32.1317,150.3511,MERRIWA,NSW,52,Aileen Hogan also sent in a storm spotter report via email giving qualitative description of wind damage at about 2am local time on the morning of 2/12/2012. NULL,,,
6845,3/12/2012 3:58,-31.0817,150.8511,TAMWORTH AIRPORT,NSW,50,Wind averaging period of 2min. NULL,,,
6846,19/12/2012 10:35,-29.4651,149.8345,MOREE,NSW,49,NULL NULL,,,
6847,23/12/2012 7:50,-33.4315,148.0137,FORBES,NSW,52,Wind averaging period of 2mins. NULL,,,
6848,23/12/2012 9:43,-34.4151,147.5179,TEMORA AERODROME,NSW,56,Wind averaging period of 2 min. NULL,,,
6849,24/12/2012 6:03,-36.253,148.1804,KHANCOBAN,NSW,60,Wind averaging period 3 min. NULL,,,
6850,24/12/2012 7:25,-33.4315,148.0137,FORBES,NSW,48,Wind averaging period 2 mins. NULL,,,
6851,24/12/2012 7:50,-35.4484,149.8012,BRAIDWOOD,NSW,49,Wind averaging period 2 mins. NULL,,,
6852,24/12/2012 7:56,-36.2517,150.2268,MONTAGUE ISLAND LIGHTHOUSE,NSW,56,Wind averaging period 2 mins. NULL,,,
6853,25/12/2012 8:42,-29.4817,149.8345,MOREE AIRPORT,NSW,51,Wind avergaing period 2 min. NULL,,,
6854,25/12/2012 5:11,-31.8151,150.7345,MURRURUNDI,NSW,52,Wind averaging period 2mins. NULL,,,
